"OU","ObjectClass","IdentityReference","PrincipalName","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IsInherited","InheritanceFlags","PropagationFlags","SDDate","InvocationID","OrgUSN","LegendText"
"<DOMAIN-DN>","","S-1-5-32-544","BUILTIN\Administrators","Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"<DOMAIN-DN>","","S-1-1-0","Everyone","ReadProperty","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"<DOMAIN-DN>","","S-1-5-11","NT AUTHORITY\Authenticated Users","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"<DOMAIN-DN>","","S-1-5-18","NT AUTHORITY\SYSTEM","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"<DOMAIN-DN>","","S-1-5-32-544","BUILTIN\Administrators","CreateChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","ContainerInherit","None","","","",""
"<DOMAIN-DN>",,"S-1-5-32-554",,"ListChildren","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","ContainerInherit","None","","","",""
"<DOMAIN-DN>",,"S-1-5-32-554",,"ReadControl","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"<DOMAIN-DN>","","<DOMAINSID>-512","<DOMAIN-NETBIOS>\Domain Admins","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"<DOMAIN-DN>","","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","GenericAll","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","ContainerInherit","None","","","",""
"<DOMAIN-DN>","","<DOMAINSID>-516","<DOMAIN-NETBIOS>\Domain Controllers","ExtendedRight","None","1131f6ac-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","False","None","None","","","",""
"<DOMAIN-DN>","","<DOMAINSID>-516","<DOMAIN-NETBIOS>\Domain Controllers","ExtendedRight","None","1131f6ab-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","False","None","None","","","",""
"<DOMAIN-DN>","","<DOMAINSID>-516","<DOMAIN-NETBIOS>\Domain Controllers","ExtendedRight","None","1131f6aa-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","False","None","None","","","",""
"<DOMAIN-DN>","","S-1-5-32-544","BUILTIN\Administrators","ExtendedRight","None","1131f6ac-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","False","None","None","","","",""
"<DOMAIN-DN>","","S-1-5-32-544","BUILTIN\Administrators","ExtendedRight","None","1131f6ab-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","False","None","None","","","",""
"<DOMAIN-DN>","","S-1-5-32-544","BUILTIN\Administrators","ExtendedRight","None","1131f6aa-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","False","None","None","","","",""
"<DOMAIN-DN>",,"S-1-5-32-554",,"ReadProperty","Descendents","59ba2f42-79a2-11d0-9020-00c04fc2d3cf","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","False","ContainerInherit","InheritOnly","","","",""
"<DOMAIN-DN>",,"S-1-5-32-554",,"ReadProperty","Descendents","bc0ac240-79a9-11d0-9020-00c04fc2d4cf","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","False","ContainerInherit","InheritOnly","","","",""
"<DOMAIN-DN>",,"S-1-5-32-554",,"ReadProperty","Descendents","4c164200-20c0-11d0-a768-00aa006e0529","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","False","ContainerInherit","InheritOnly","","","",""
