"OU","ObjectClass","IdentityReference","PrincipalName","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IsInherited","InheritanceFlags","PropagationFlags","SDDate","InvocationID","OrgUSN","LegendText"
"CN=Configuration,<ROOT-DN>","configuration","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","2015-06-23 06:54:04","076738b3-e26e-4ba3-9208-3a92eb72a3da","4101",""
"CN=Configuration,<ROOT-DN>","configuration","S-1-5-11","NT AUTHORITY\Authenticated Users","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:04","076738b3-e26e-4ba3-9208-3a92eb72a3da","4101",""
"CN=Configuration,<ROOT-DN>","configuration","S-1-5-18","NT AUTHORITY\SYSTEM","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:04","076738b3-e26e-4ba3-9208-3a92eb72a3da","4101",""
"CN=Configuration,<ROOT-DN>","configuration","<DOMAINSID>-512","<DOMAIN-NETBIOS>\Domain Admins","CreateChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","Descendents","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","ContainerInherit","InheritOnly","2015-06-23 06:54:04","076738b3-e26e-4ba3-9208-3a92eb72a3da","4101",""
"CN=Configuration,<ROOT-DN>","configuration","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","GenericAll","All","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","ContainerInherit","None","2015-06-23 06:54:04","076738b3-e26e-4ba3-9208-3a92eb72a3da","4101",""
"CN=Configuration,<ROOT-DN>","configuration","<DOMAINSID>-516","<DOMAIN-NETBIOS>\Domain Controllers","ExtendedRight","None","1131f6ac-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","False","None","None","2015-06-23 06:54:04","076738b3-e26e-4ba3-9208-3a92eb72a3da","4101",""
"CN=Configuration,<ROOT-DN>","configuration","<DOMAINSID>-516","<DOMAIN-NETBIOS>\Domain Controllers","ExtendedRight","None","1131f6ab-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","False","None","None","2015-06-23 06:54:04","076738b3-e26e-4ba3-9208-3a92eb72a3da","4101",""
"CN=Configuration,<ROOT-DN>","configuration","<DOMAINSID>-516","<DOMAIN-NETBIOS>\Domain Controllers","ExtendedRight","None","1131f6aa-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","False","None","None","2015-06-23 06:54:04","076738b3-e26e-4ba3-9208-3a92eb72a3da","4101",""
"CN=Configuration,<ROOT-DN>","configuration","<DOMAINSID>-516","<DOMAIN-NETBIOS>\Domain Controllers","ExtendedRight","None","89e95b76-444d-4c62-991a-0facbeda640c","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","False","None","None","2015-06-23 06:54:04","076738b3-e26e-4ba3-9208-3a92eb72a3da","4101",""
"CN=Configuration,<ROOT-DN>","configuration","<DOMAINSID>-516","<DOMAIN-NETBIOS>\Domain Controllers","ExtendedRight","None","1131f6ad-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","False","None","None","2015-06-23 06:54:04","076738b3-e26e-4ba3-9208-3a92eb72a3da","4101",""
