"Name","distinguishedName","Version","ModifiedDate","SDDL"
"MS-SQL-OLAPDatabase","CN=MS-SQL-OLAPDatabase,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"MS-SQL-SQLDatabase","CN=MS-SQL-SQLDatabase,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"MS-SQL-SQLPublication","CN=MS-SQL-SQLPublication,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"MS-SQL-SQLRepository","CN=MS-SQL-SQLRepository,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"MS-SQL-OLAPServer","CN=MS-SQL-OLAPServer,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"MS-SQL-SQLServer","CN=MS-SQL-SQLServer,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"ms-PKI-Key-Recovery-Agent","CN=ms-PKI-Key-Recovery-Agent,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"ms-PKI-Enterprise-Oid","CN=ms-PKI-Enterprise-Oid,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"ms-ieee-80211-Policy","CN=ms-ieee-80211-Policy,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"ms-Exch-Configuration-Container","CN=ms-Exch-Configuration-Container,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
