"Name","distinguishedName","Version","ModifiedDate","SDDL"
"Organization","CN=Organization,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2025-05-20 00:49:41","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)"
"NTDS-DSA","CN=NTDS-DSA,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2025-05-20 00:49:41","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)"
"DMD","CN=DMD,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2025-05-20 00:49:41","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)"
"SubSchema","CN=SubSchema,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2025-05-20 00:49:41","D:S:"
"Attribute-Schema","CN=Attribute-Schema,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2025-05-20 00:49:41","D:S:"
"account","CN=account,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2025-05-20 00:49:41","D:(A;;RPWPCRCCDCLCLOLORCWOWDSDDTDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)"
"Class-Schema","CN=Class-Schema,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2025-05-20 00:49:41","D:S:"
"ACS-Policy","CN=ACS-Policy,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2025-05-20 00:49:41","D:(A;;RPWPCRCCDCLCLOLORCWOWDSDDTDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)"
"ACS-Resource-Limits","CN=ACS-Resource-Limits,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2025-05-20 00:49:41","D:(A;;RPWPCRCCDCLCLOLORCWOWDSDDTDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)"
"ACS-Subnet","CN=ACS-Subnet,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2025-05-20 00:49:41","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)"
